market_code,所属概念数量,所属概念,股票代码,code
151,4,华为概念;5G;新股与次新股;融资融券,920028.BJ,920028
33,12,智能电网;绿色电力;光伏概念;氢能源;储能;可控核聚变;宁德时代概念;一带一路;数据中心;专精特新;融资融券;深股通,300827.SZ,300827
33,10,光伏概念;储能;充电桩;一带一路;粤港澳大湾区;注册制次新股;人民币贬值受益;深股通;新股与次新股;融资融券,301658.SZ,301658
17,9,共封装光学(CPO);光纤概念;5G;汽车芯片;芯片概念;数据中心;西部大开发;沪股通;融资融券,688498.SH,688498
33,6,绿色电力;光伏概念;储能;芯片概念;融资融券;深股通,300763.SZ,300763
151,17,国企改革;股权转让(并购重组);新能源汽车;智慧灯杆;光伏概念;一带一路;融资融券;虚拟电厂;智慧城市;家用电器;军工;充电桩;智能音箱;车联网(车路协同);储能;东数西算(算力);传感器,920641.BJ,920641
33,18,WiFi 6;6G概念;5G;先进封装;消费电子概念;芯片概念;智能穿戴;无线耳机;卫星导航;小米概念;商业航天;物联网;虚拟现实;智能家居;人民币贬值受益;同花顺漂亮100;融资融券;深股通,300782.SZ,300782
17,6,BC电池;钙钛矿电池;POE胶膜;光伏概念;新能源汽车;融资融券,688680.SH,688680
33,16,钠离子电池;BC电池;固态电池;锂电池概念;光伏概念;储能;光伏建筑一体化;智能电网;特斯拉概念;新能源汽车;露营经济;人民币贬值受益;机器人概念;网红经济;深股通;融资融券,301327.SZ,301327
33,17,虚拟电厂;抽水蓄能;智能电网;风电;绿色电力;光伏建筑一体化;充电桩;生物质能发电;高压快充;储能;光伏概念;碳中和;数据中心;垃圾分类;高铁;黑龙江自贸区;华为概念,300040.SZ,300040
33,16,跨境电商;智能家居;人民币贬值受益;无线充电;无线耳机;AI眼镜;机器人概念;充电桩;安防;消费电子概念;3D打印;储能;人工智能;芯片概念;深股通;融资融券,300866.SZ,300866
17,10,光伏概念;绿色电力;储能;专精特新;人工智能;芯片概念;共同富裕示范区;人民币贬值受益;沪股通;融资融券,688348.SH,688348
33,6,托育服务;三胎概念;职业教育;在线教育;文化传媒概念;股权转让(并购重组),300329.SZ,300329
17,14,共封装光学(CPO);光纤概念;第三代半导体;芯片概念;汽车芯片;数据中心;可控核聚变;商业航天;专精特新;华为概念;无人驾驶;医美概念;沪股通;融资融券,688048.SH,688048
33,23,钠离子电池;固态电池;虚拟电厂;两轮车;锂电池概念;储能;石墨烯;充电桩;新型烟草(电子烟);燃料电池;深股通;粤港澳大湾区;长安汽车概念;独角兽概念;新能源汽车;无线耳机;低空经济;机器人概念;小米概念;无人机;消费电子概念;军工;融资融券,300438.SZ,300438
33,17,新型烟草(电子烟);储能;充电桩;光伏概念;一体化压铸;液冷服务器;宁德时代概念;回购增持再贷款概念;特斯拉概念;人形机器人;新能源汽车;比亚迪概念;华为概念;机器人概念;低空经济;深股通;融资融券,301268.SZ,301268
33,20,股权转让(并购重组);生态农业;乡村振兴;PPP概念;京津冀一体化;医疗废物处理;新型城镇化;汽车拆解概念;雄安新区;土壤修复;国企改革;污水处理;水利;固废处理;绿色电力;风电;储能;金属回收;深股通;摘帽,002310.SZ,002310
33,23,TOPCON电池;钙钛矿电池;光伏建筑一体化;智能电网;风电;光伏概念;绿色电力;充电桩;海工装备;储能;碳中和;高铁;锂电池概念;新能源汽车;一带一路;军工;军民融合;比亚迪概念;国企改革;华为概念;5G;深股通;摘帽,002309.SZ,002309
33,11,光伏建筑一体化;绿色电力;盐湖提锂;碳中和;化肥;储能;锂电池概念;AI手机;染料;深股通;融资融券,002256.SZ,002256
33,8,智能电网;风电;绿色电力;碳中和;央企国企改革;西部大开发;国企改革;深股通,000862.SZ,000862
17,8,租售同权;创投;蚂蚁集团概念;数字经济;DeepSeek概念;国企改革;融资融券;沪股通,600604.SH,600604
17,8,特色小镇;土地流转;物业管理;旅游概念;养老概念;国企改革;京津冀一体化;创投,600683.SH,600683
17,13,数字水印;AIGC概念;ChatGPT概念;数字孪生;DeepSeek概念;人工智能;物联网;工业互联网;烟草;共同富裕示范区;光伏概念;钙钛矿电池;锂电池概念,603687.SH,603687
17,11,光伏概念;光伏建筑一体化;人形机器人;比亚迪概念;液冷服务器;专精特新;储能;机器人概念;金属回收;沪股通;融资融券,603381.SH,603381
17,9,碳交易;碳中和;绿色电力;风电;超超临界发电;国企改革;氢能源;海工装备;央企国企改革,600396.SH,600396
17,9,氟化工概念;宁德时代概念;锂电池概念;环氧丙烷;燃料电池;新能源汽车;国企改革;沪股通;融资融券,603026.SH,603026
17,7,高股息精选;参股银行;污水处理;长三角一体化;回购增持再贷款概念;传感器;芯片概念,603165.SH,603165
33,14,抽水蓄能;生物质能发电;绿色电力;充电桩;东数西算(算力);数据中心;储能;回购增持再贷款概念;新能源汽车;长安汽车概念;比亚迪概念;减速器;深股通;融资融券,000601.SZ,000601
17,11,足球概念;海峡两岸;体育产业;冰雪产业;跨境电商;鸿蒙概念;养老概念;AIGC概念;人工智能;华为概念;DeepSeek概念,605299.SH,605299
33,23,两轮车;固态电池;比亚迪概念;新型烟草(电子烟);小米概念;钠离子电池;智能穿戴;新能源汽车;锂电池概念;消费电子概念;人民币贬值受益;人形机器人;粤港澳大湾区;机器人概念;AI眼镜;动力电池回收;2025年报预增;储能;AI PC;人工智能;数据中心;回购增持再贷款概念;深股通,001283.SZ,001283
