market_code,股票代码,所属概念,code,所属概念数量
151,920119.BJ,高端装备;固态电池;新股与次新股;融资融券,920119,4
17,688583.SH,空间计算;3D打印;专精特新;大飞机;机器人概念;阿里巴巴概念;比亚迪概念;特斯拉概念;宁德时代概念;融资融券,688583,10
17,688025.SH,共封装光学(CPO);光纤概念;苹果概念;芯片概念;比亚迪概念;MR(混合现实);宁德时代概念;TOPCON电池;钙钛矿电池;专精特新;机器视觉;光伏概念;固态电池;华为概念;虚拟现实;2025年报预增;沪股通;融资融券,688025,18
33,301486.SZ,共封装光学(CPO);富士康概念;光纤概念;消费电子概念;芯片概念;5G;MR(混合现实);比亚迪概念;数据中心;新型工业化;高端装备;华为概念;东数西算(算力);粤港澳大湾区;虚拟现实;华为昇腾;抖音概念(字节概念);阿里巴巴概念;股权转让(并购重组);深股通;融资融券,301486,21
33,300731.SZ,富士康概念;液冷服务器;第三代半导体;宁德时代概念;5G;比亚迪概念;汽车热管理;数据中心;新能源汽车;2025年报预增;小米汽车;储能;家用电器;华为概念;粤港澳大湾区;海峡两岸;创投;深股通,300731,18
33,300805.SZ,AIGC概念;拼多多概念;AI智能体;阿里巴巴概念;华为概念;跨境电商;网约车;AI应用;2025年报预增;新能源汽车,300805,10
17,688280.SH,减速器;比亚迪概念;两轮车;新能源汽车;无人驾驶;专精特新;汽车电子;融资融券,688280,8
17,688330.SH,量子科技;电力物联网;智能电网;专精特新;2025年报预增;融资融券,688330,6
17,688167.SH,共封装光学(CPO);存储芯片;光刻机;光纤概念;先进封装;MicroLED概念;OLED;芯片概念;消费电子概念;MR(混合现实);智能座舱;3D打印;机器视觉;可控核聚变;虚拟现实;无人驾驶;回购增持再贷款概念;西部大开发;医美概念;沪股通;融资融券,688167,21
33,301235.SZ,芯片概念;专精特新;医疗器械概念;辅助生殖;医疗废物处理;回购增持再贷款概念;人工智能;智能医疗;2025年报预增;融资融券,301235,10
33,300385.SZ,固废处理;医疗废物处理;国企改革;专精特新,300385,4
17,688350.SH,污水处理;氢能源;专精特新;盐湖提锂;融资融券,688350,5
33,301266.SZ,BC电池;HJT电池;硅能源;超导概念;光伏概念;专精特新;融资融券,301266,7
33,301317.SZ,新能源汽车;专精特新;空气能热泵;共同富裕示范区;中俄贸易概念;数据中心;污水处理;人工智能;2025年报预增;深股通;融资融券,301317,11
17,688312.SH,PCB概念;苹果概念;消费电子概念;5G;芯片概念;专精特新;机器视觉;粤港澳大湾区;传感器;人工智能;融资融券,688312,11
33,300189.SZ,海南自贸区;转基因;玉米;土地流转;粮食概念;生态农业;农业种植;乡村振兴;合成生物;融资融券,300189,10
33,300570.SZ,共封装光学(CPO);F5G概念;铜缆高速连接;光纤概念;5G;芯片概念;数据中心;传感器;人民币贬值受益;融资融券;深股通,300570,11
