market_code,所属概念数量,股票代码,所属概念,code
17,7,688808.SH,芯片概念;专精特新;科创次新股;注册制次新股;新股与次新股;融资融券;2026一季报预增,688808
151,7,920125.BJ,PCB概念;芯片概念;新能源汽车;先进封装;储能;新股与次新股;融资融券,920125
33,16,300422.SZ,医疗废物处理;土壤修复;污水处理;净水概念;垃圾分类;PPP概念;雄安新区;固废处理;碳中和;消毒剂;国企改革;西部大开发;食品安全;动力电池回收;天然气;无人驾驶,300422
33,15,300283.SZ,PCB概念;消费电子概念;工业母机;比亚迪概念;新能源汽车;专精特新;芯片概念;锂电池概念;第三代半导体;储能;智能电网;固态电池;数据中心;光伏建筑一体化;医疗器械概念,300283
33,19,300613.SZ,汽车芯片;AI眼镜;芯片概念;智能音箱;汽车电子;消费电子概念;智能穿戴;机器视觉;东数西算(算力);安防;人脸识别;比亚迪概念;专精特新;机器人概念;智能家居;鸿蒙概念;人工智能;深股通;融资融券,300613
17,14,688268.SH,俄乌冲突概念;氟化工概念;光刻机;中芯国际概念;光刻胶;氢能源;存储芯片;第三代半导体;芯片概念;粤港澳大湾区;核电;专精特新;沪股通;融资融券,688268
17,4,688633.SH,专精特新;高端装备;一带一路;融资融券,688633
33,10,301077.SZ,专精特新;英伟达概念;AI应用;人工智能;东数西算(算力);AI智能体;量子科技;储能;跨境电商;融资融券,301077
33,7,300721.SZ,环氧丙烷;染料;光刻胶;芯片概念;锂电池概念;OLED;新能源汽车,300721
33,11,300489.SZ,先进封装;第三代半导体;核污染防治;新能源汽车;无人驾驶;军工;无人机;核电;低空经济;氢能源;深股通,300489
17,14,688141.SH,汽车芯片;消费电子概念;芯片概念;汽车电子;智能座舱;小米概念;无人驾驶;专精特新;华为概念;新能源汽车;锂电池概念;储能;沪股通;融资融券,688141
17,11,688807.SH,共封装光学(CPO);科创次新股;汽车芯片;5G;芯片概念;MCU芯片;数据中心;海峡两岸;注册制次新股;新股与次新股;融资融券,688807
33,14,300390.SZ,固态电池;锂电池概念;宁德时代概念;小金属概念;2026一季报预增;储能;新能源汽车;中芯国际概念;芯片概念;存储芯片;华为概念;医疗器械概念;融资融券;深股通,300390
17,8,688347.SH,国家大基金持股;存储芯片;芯片概念;消费电子概念;上海国企改革;国企改革;沪股通;融资融券,688347
33,2,301003.SZ,新能源汽车;融资融券,301003
33,10,300434.SZ,流感;仿制药一致性评价;医药电商;创新药;维生素;CRO概念;三胎概念;地下管网;PPP概念;西部大开发,300434
33,24,301307.SZ,富士康概念;芯片概念;5G;比亚迪概念;特斯拉概念;液冷服务器;减速器;新能源汽车;专精特新;小米汽车;无人驾驶;华为概念;华为汽车;东数西算(算力);长安汽车概念;工业互联网;充电桩;一体化压铸;储能;固态电池;绿色电力;西部大开发;深股通;融资融券,301307
33,6,300965.SZ,军民融合;军工;卫星导航;无人机;融资融券;摘帽,300965
17,12,688101.SH,锂电池概念;净水概念;污水处理;石墨烯;海峡两岸;核污染防治;西部大开发;福建自贸区;代糖概念;盐湖提锂;沪股通;融资融券,688101
33,9,000889.SZ,算力租赁;腾讯概念;抖音概念(字节概念);阿里巴巴概念;百度概念;华为概念;5G;互联网金融;摘帽,000889
33,7,002795.SZ,光伏概念;股权转让(并购重组);人民币贬值受益;医疗器械概念;民营医院;TOPCON电池;BC电池,002795
17,8,600537.SH,光伏建筑一体化;硅能源;钙钛矿电池;TOPCON电池;光伏概念;绿色电力;5G;融资融券,600537
33,12,002999.SZ,供销社;农业种植;粮食概念;化肥;乡村振兴;农机;智能物流;2025年报预增;数字乡村;数字经济;低空经济;无人机,002999
17,8,600726.SH,超超临界发电;绿色电力;煤炭概念;风电;黑龙江自贸区;国企改革;央企国企改革;沪股通,600726
33,8,002406.SZ,长安汽车概念;机器人概念;新能源汽车;工业互联网;中俄贸易概念;军工;军民融合;深股通,002406
17,7,603318.SH,天然气;氢能源;国企改革;一带一路;股权转让(并购重组);专精特新;融资融券,603318
33,36,000925.SZ,高铁;低空经济;商业航天;无人机;卫星导航;车联网(车路协同);时空大数据;智慧城市;机器人概念;数字孪生;工业互联网;无人驾驶;数字经济;人工智能;华为概念;空间计算;信创;机器视觉;数据要素;元宇宙;一带一路;数据中心;ChatGPT概念;东数西算(算力);数字水印;多模态AI;芯片概念;乡村振兴;医疗器械概念;虚拟数字人;数据确权;回购增持再贷款概念;算力租赁;先进封装;合成生物;深股通,000925
33,28,002313.SZ,智慧城市;车联网(车路协同);智慧灯杆;物联网;人工智能;华为概念;工业互联网;阿里巴巴概念;智能家居;无人驾驶;DeepSeek概念;东数西算(算力);机器人概念;粤港澳大湾区;智能座舱;5G;数据中心;小米概念;无人机;卫星导航;比亚迪概念;汽车电子;充电桩;液冷服务器;储能;国企改革;新疆振兴;股权转让(并购重组),002313
17,6,603680.SH,高铁;一带一路;充电桩;储能;2025年报预增;沪股通,603680
33,18,301510.SZ,传感器;机器视觉;芯片概念;先进封装;新型工业化;工业母机;机器人概念;物联网;专精特新;工业互联网;粤港澳大湾区;高端装备;职业教育;智能物流;创投;污水处理;深股通;融资融券,301510
17,22,688629.SH,共封装光学(CPO);铜缆高速连接;5G;卫星导航;商业航天;数据中心;无人机;军工;华为概念;比亚迪概念;高压快充;低空经济;阿里巴巴概念;腾讯概念;机器人概念;新能源汽车;核电;高铁;西部大开发;国企改革;沪股通;融资融券,688629
33,10,000906.SZ,统一大市场;装配式建筑;中俄贸易概念;国企改革;工业互联网;ERP概念;新能源汽车;储能;煤炭概念;深股通,000906
33,19,300057.SZ,PET铜箔;锂电池概念;超级电容;固态电池;钠离子电池;宁德时代概念;柔性屏(折叠屏);建筑节能;光伏概念;OLED;比亚迪概念;储能;小米概念;华为概念;DeepSeek概念;AI智能体;虚拟数字人;深股通;融资融券,300057
33,15,000973.SZ,固态电池;锂电池概念;宁德时代概念;OLED;比亚迪概念;国企改革;粤港澳大湾区;2026一季报预增;特高压;航运概念;证金持股;融资融券;AI眼镜;深股通;股权转让(并购重组),000973
17,20,603390.SH,汽车热管理;无人驾驶;新能源汽车;汽车电子;智能座舱;车联网(车路协同);比亚迪概念;网约车;智慧城市;粤港澳大湾区;创投;华为概念;充电桩;5G;人工智能;2025年报预增;区块链;ERP概念;云计算;氢能源,603390
17,14,600826.SH,创投;上海国企改革;宠物经济;人工智能;体育产业;AI智能体;参股银行;国企改革;机器人概念;参股券商;人形机器人;证金持股;沪股通;融资融券,600826
17,5,603520.SH,仿制药一致性评价;流感;氟化工概念;锂电池概念;专精特新,603520
17,14,600152.SH,固态电池;钠离子电池;锂电池概念;无人机;新型烟草(电子烟);消费电子概念;储能;换电概念;数据中心;两轮车;机器人概念;华为汽车;华为概念;共同富裕示范区,600152
33,16,002176.SZ,小金属概念;固态电池;锂电池概念;军工;新能源汽车;风电;无人机;飞行汽车(eVTOL);机器人概念;低空经济;大飞机;人形机器人;抽水蓄能;深股通;融资融券;股权转让(并购重组),002176
17,2,603365.SH,高股息精选;网红经济,603365
17,5,603272.SH,共同富裕示范区;长三角一体化;回购增持再贷款概念;工业互联网;专精特新,603272
17,1,603937.SH,锂电池概念,603937
33,6,002810.SZ,锂电池概念;2026一季报预增;专精特新;人民币贬值受益;融资融券;深股通,002810
17,2,603016.SH,特高压;国企改革,603016
17,11,603967.SH,中韩自贸区;航运概念;统一大市场;自由贸易港;冷链物流;中俄贸易概念;高股息精选;智能物流;一带一路;俄乌冲突概念;核电,603967
17,4,603599.SH,草甘膦;染料;沪股通;融资融券,603599
33,12,002290.SZ,2025年报预增;芯片概念;家用电器;东数西算(算力);智能物流;信创;人工智能;智能医疗;云游戏;DeepSeek概念;文化传媒概念;深股通,002290
