所属概念,code,股票代码,所属概念数量,market_code
AIGC概念;华为鲲鹏;华为欧拉;AI智能体;云计算;数据安全;智慧政务;数据要素;信创;DeepSeek概念;人工智能;数字经济;互联网金融;数字孪生;智慧城市;AI应用;华为概念;工业互联网;数据中心;军工;专精特新;融资融券,688118,688118.SH,22,17
华为昇腾;多模态AI;算力租赁;华为鲲鹏;信创;ChatGPT概念;东数西算(算力);阿里巴巴概念;鸿蒙概念;人形机器人;智能座舱;芯片概念;AI智能体;AI眼镜;智慧政务;智能穿戴;人脸识别;车联网(车路协同);机器视觉;消费电子概念;华为概念;安防;人工智能;DeepSeek概念;低空经济;机器人概念;智慧城市;沪股通;融资融券,688343,688343.SH,29,17
智谱AI;多模态AI;ChatGPT概念;华为鲲鹏;AI智能体;智慧政务;信创;百度概念;数据要素;鸿蒙概念;区块链;军工信息化;DeepSeek概念;职业教育;人脸识别;人工智能;数字经济;互联网金融;车联网(车路协同);华为概念;军工;工业互联网;新型工业化;电力物联网;换电概念;核电;AI应用;智能电网;碳交易;充电桩;风电;特高压;超超临界发电,300830,300830.SZ,33,33
商业航天;减速器;人形机器人;汽车热管理;机器人概念;新能源汽车;比亚迪概念;芯片概念;充电桩;光伏概念;华为概念;储能;海峡两岸;风电;数据中心;冷链物流;稀土永磁;融资融券,301226,301226.SZ,18,33
培育钻石;工业母机;核电;新能源汽车;人形机器人;芯片概念;OLED;沪股通;融资融券,688028,688028.SH,9,17
光伏建筑一体化;光伏概念;虚拟电厂;风电;储能;绿色电力;锂电池概念;粤港澳大湾区;国企改革;OLED;华为概念,300317,300317.SZ,11,33
小金属概念;土壤修复;净水概念;污水处理;融资融券,688480,688480.SH,5,17
智谱AI;华为昇腾;多模态AI;语音技术;华为鲲鹏;AIGC概念;财税数字化;AI智能体;信创;腾讯概念;云办公;云计算;网络安全;阿里巴巴概念;卫星导航;数据要素;5G;算力租赁;数据确权;智慧政务;东数西算(算力);华为数字能源;在线教育;时空大数据;华为概念;智慧灯杆;芯片概念;区块链;人脸识别;无人机;人工智能;数据中心;安防;数字孪生;数字乡村;液冷服务器;DeepSeek概念;智慧城市;物联网;低空经济;新型工业化;数字经济;机器人概念;智能电网;智能医疗;粤港澳大湾区;智能物流;新型城镇化;AI应用;融资融券,301248,301248.SZ,50,33
多模态AI;云计算;AI智能体;华为鲲鹏;数据要素;区块链;百度概念;鸿蒙概念;数字经济;ETC;人脸识别;人工智能;智能医疗;智慧城市;车联网(车路协同);安防;物联网;创投;机器视觉;电力物联网;AI应用;芯片概念;AI眼镜,300448,300448.SZ,23,33
三胎概念;西部大开发;仿制药一致性评价;流感;创新药;融资融券,301075,301075.SZ,6,33
房屋检测;建筑节能;装配式建筑;新型城镇化;水利;地下管网;光伏建筑一体化;车联网(车路协同);储能;智慧城市;污水处理;一带一路;空间计算;乡村振兴;绿色电力;西部大开发;数字乡村;人工智能;数据中心;数字经济;DeepSeek概念;数据要素;AIGC概念;融资融券,301027,301027.SZ,24,33
金属铅;金属锌;金属铜;小金属概念;盐湖提锂;净水概念;污水处理;PPP概念;专精特新;水利;京津冀一体化;DeepSeek概念;融资融券,300774,300774.SZ,13,33
AI应用;AI智能体;融资融券;虚拟现实;网络安全;空间计算;鸿蒙概念;芯片概念;智能医疗;虚拟数字人;职业教育;东数西算(算力);智慧政务;人工智能;数字孪生;信创;数字经济;数据要素;DeepSeek概念;华为概念;AIGC概念;智慧城市;数据中心;云计算;数据安全;华为鲲鹏;多模态AI;专精特新;华为昇腾;元宇宙,920207,920207.BJ,30,151
牙科医疗;3D打印;专精特新;人民币贬值受益;医疗器械概念;智能医疗;阿里巴巴概念;深股通;融资融券,301580,301580.SZ,9,33
数据要素;多模态AI;ERP概念;人工智能;华为鲲鹏;AI智能体;人脸识别;数字孪生;数据安全;AI应用;华为欧拉;智慧城市;DeepSeek概念;智慧政务;信创;数字经济;车联网(车路协同);语音技术;安防;华为概念;机器视觉;股权转让(并购重组);融资融券,688038,688038.SH,23,17
BC电池;HJT电池;TOPCON电池;OLED;液冷服务器;光伏概念;芯片概念;5G;汽车电子;专精特新;商业航天;卫星导航;沪股通;融资融券,688503,688503.SH,14,17
智能医疗;医疗器械概念;专精特新;机器人概念;沪股通;融资融券,688277,688277.SH,6,17
新股与次新股;融资融券,920166,920166.BJ,2,151
共封装光学(CPO);光纤概念;苹果概念;TOPCON电池;钙钛矿电池;芯片概念;MR(混合现实);3D打印;光伏概念;比亚迪概念;机器视觉;专精特新;虚拟现实;华为概念;宁德时代概念;固态电池;2025年报预增;沪股通;融资融券,688025,688025.SH,19,17
新型工业化;专精特新;机器人概念;人民币贬值受益;农机;高铁;长安汽车概念;3D打印;高端装备;新能源汽车;空气能热泵;汽车热管理;一带一路;工业母机;HJT电池;大飞机;氢能源;商业航天;融资融券,688355,688355.SH,19,17
人工智能;阿里巴巴概念;家用电器;腾讯概念;DeepSeek概念;AIGC概念;东数西算(算力);算力租赁;深股通;融资融券,300911,300911.SZ,10,33
3D打印;新能源汽车;智能座舱;创投;专精特新;小米概念;智能家居;华为概念;消费电子概念;MiniLED;储能;富士康概念;深股通;融资融券,300909,300909.SZ,14,33
医疗器械概念;辅助生殖;人民币贬值受益;融资融券,301122,301122.SZ,4,33
钙钛矿电池;石墨烯;光刻胶;可降解塑料;磷化工;融资融券,688669,688669.SH,6,17
智谱AI;云游戏;华为昇腾;算力租赁;云计算;快手概念;东数西算(算力);数据安全;信创;智慧政务;小红书概念;国产操作系统;AI智能体;百度概念;AIGC概念;数据中心;虚拟数字人;数据要素;在线教育;车联网(车路协同);商业航天;华为概念;DeepSeek概念;人工智能;芯片概念;无人驾驶;专精特新;京津冀一体化;创投;一带一路;融资融券;深股通,300846,300846.SZ,32,33
算力租赁;财税数字化;云计算;ChatGPT概念;多模态AI;腾讯概念;AI智能体;东数西算(算力);智慧政务;信创;数据要素;MR(混合现实);空间计算;数据中心;DeepSeek概念;华为概念;人工智能;数字经济;安防;智慧城市;职业教育;物联网;智能医疗;AI应用;专精特新;智能物流;旅游概念;乡村振兴;新型城镇化;深股通;融资融券,301396,301396.SZ,31,33
医疗废物处理;风电;固废处理;生物质能发电;氢能源;绿色电力;碳交易;垃圾分类;一带一路;储能;回购增持再贷款概念;机器人概念;深股通;人工智能;融资融券,000035,000035.SZ,15,33
化肥;天然气;磷化工;国企改革;乡村振兴;民爆概念;央企国企改革;西部大开发;融资融券;AI智能体,000731,000731.SZ,10,33
智能电网;风电;虚拟电厂;绿色电力;固废处理;光伏概念;华为数字能源;碳中和;建筑节能;央企国企改革;2025三季报预增;国企改革;乡村振兴;融资融券;深股通,003035,003035.SZ,15,33
小金属概念;稀土永磁;锂电池概念;固态电池;氢能源;核电;回购增持再贷款概念;燃料电池;牙科医疗;深股通;融资融券,002167,002167.SZ,11,33
金属铜;小金属概念;石墨烯;芯片概念;西部大开发;化债概念(AMC概念),000510,000510.SZ,6,33
智能音箱;无线耳机;智能穿戴;汽车电子;新型烟草(电子烟);毫米波雷达;小米概念;消费电子概念;传感器;智能家居;苹果概念;无人机;新能源汽车;芯片概念;华为概念;无线充电;元宇宙;一带一路,002655,002655.SZ,18,33
央企国企改革;西部大开发;国企改革;水泥概念;沪股通;融资融券,600452,600452.SH,6,17
智能电网;光伏概念;华为数字能源;虚拟电厂;换电概念;抽水蓄能;高压快充;储能;充电桩;风电;碳中和;新能源汽车;数据中心;水利;宁德时代概念;锂电池概念;长三角一体化;华为概念;绿色电力;动力电池回收;碳交易;东数西算(算力);英伟达概念;生物质能发电;数字经济;算力租赁;百度概念;蚂蚁集团概念;区块链;融资融券;深股通,002015,002015.SZ,31,33
PPP概念;垃圾分类;碳中和;智慧城市;医疗废物处理;乡村振兴;DeepSeek概念;人工智能;污水处理;低空经济;数字乡村;绿色电力;机器人概念;固废处理;无人驾驶;人形机器人;深股通,002973,002973.SZ,17,33
装配式建筑;新疆振兴;PPP概念;氟化工概念;西部大开发;机器人概念;小金属概念;无人驾驶;融资融券,002628,002628.SZ,9,33
,003018,003018.SZ,0,33
固态电池;可降解塑料;专精特新;合成生物,603217,603217.SH,4,17
新能源汽车;比亚迪概念;机器人概念;一带一路;工业互联网;沪股通;融资融券,603897,603897.SH,7,17
期货概念;数字经济;参股券商;沪股通,603093,603093.SH,4,17
煤炭概念;国企改革;沪股通;股权转让(并购重组),600397,600397.SH,4,17
超超临界发电;抽水蓄能;绿色电力;核电;国企改革;储能;融资融券;深股通,000899,000899.SZ,8,33
天然气;氢能源;国企改革;一带一路;专精特新;股权转让(并购重组);融资融券,603318,603318.SH,7,17
三胎概念;IP经济(谷子经济);跨境电商;数字经济;粤港澳大湾区,001209,001209.SZ,5,33
