code,market_code,股票代码,涨停原因类别[20260612]
002193,33,002193.SZ,ST摘帽预期+精纺呢绒+外销占比高
000833,33,000833.SZ,
603657,17,603657.SH,
000506,33,000506.SZ,黄金+一季报扭亏+国企
001360,33,001360.SZ,黄金开采+矿山装备+高端装备
603993,17,603993.SH,钼代钨+钼钨金属+一季报增长
600906,17,600906.SH,券商+河北国资+一季报增长
301176,33,301176.SZ,PCB铜箔+AI算力+产能扩张
000630,33,000630.SZ,PCB铜箔+全产业链铜+ECSA分红+安徽国资
002215,33,002215.SZ,蓝莓产业链+一季度业绩增长+股权激励解禁
920634,151,920634.BJ,金属锌+铅锌+军工应用
600961,17,600961.SH,铟金属+黄金+铅锌龙头+央企
001359,33,001359.SZ,电子布+云母绝缘+固态电池
002270,33,002270.SZ,特高压+变压器+机器人概念
002496,33,002496.SZ,氨氢新能源+小分子功能肥+摘帽申请
603065,17,603065.SH,跨界磷化铟衬底+光稳定剂
600531,17,600531.SH,白银龙头+泛半导体高纯金属材料+定增+国企
603528,17,603528.SH,驾考新规+智慧驾培+人形机器人+高管增持
688010,17,688010.SH,商业航天+特种光学镜头+增持
300581,33,300581.SZ,军工装备+航空发动机+一季报增长
300377,33,300377.SZ,金融科技+AI应用+信创+资产托管
603180,17,603180.SH,分红+飞流AI+家装设计+北美布局
002789,33,002789.SZ,申请摘星+建筑装饰+珠海国资
605198,17,605198.SH,浓缩果汁龙头+H股回购+产能并购整合
600962,17,600962.SH,半导体工程+并购重组+浓缩苹果汁+央企
000751,33,000751.SZ,金属铟+黄金概念+一季报增长
000768,33,000768.SZ,电子特气项目启动+C919大飞机+分红+央企
603211,17,603211.SH,
000151,33,000151.SZ,成套设备出口+储能+央企+一带一路
000032,33,000032.SZ,半导体洁净室+中国电子云增资+AI算力
000547,33,000547.SZ,商业航天+蓝军装备+通信与指控装备+央企
002345,33,002345.SZ,培育钻石+黄金珠宝+一季报增长
000759,33,000759.SZ,零售+本地生活+国企
001696,33,001696.SZ,低空经济+航空发动机+资产置换+分红
002733,33,002733.SZ,AIDC项目交付+算力UPS电源+员工持股计划
603225,17,603225.SH,涤纶长丝+埃及项目+一季报增长
603103,17,603103.SH,
601958,17,601958.SH,钼基新材+存储芯片材料+陕西国资
002742,33,002742.SZ,更名+资产注入+原料药
002085,33,002085.SZ,低空经济+资产出售+通航飞机
002190,33,002190.SZ,航空零部件+商业航天+低空经济+C919
001233,33,001233.SZ,全钢巨胎+国产替代+俄罗斯建厂+订单增长
600084,22,600084.SH,
002597,33,002597.SZ,甜味剂+双氯磺酰亚胺酸+固态电池+增持完成
600067,17,600067.SH,机器人概念+电磁线+一季报增长
002306,33,002306.SZ,撤销退市风险警示+光伏边框+餐饮团膳
002985,33,002985.SZ,军工+商业航天+起降系统
002830,33,002830.SZ,家装龙头+成立AI公司+高送转
600537,22,600537.SH,预重整+签订投资协议+光伏组件
600497,17,600497.SH,钼资源+锗+铅锌龙头+央企
603938,17,603938.SH,
000737,33,000737.SZ,铜+PCB概念+山西国资+一季报增长
603335,17,603335.SH,收购半导体+汽车轮毂+股份转让
002971,33,002971.SZ,六氟化钨+电子特气+硅基功能性新材料
688163,17,688163.SH,抗蛇毒血清+独家品种
600857,17,600857.SH,零售+黄金+杭州金帝入主
002207,33,002207.SZ,
603519,17,603519.SH,股权转让+第三代半导体+家电复合材料+高股息
601718,22,601718.SH,ST摘帽预期+央企+军需品
002637,33,002637.SZ,表面活性剂龙头+油脂化学品+股份回购+高管增持
600576,17,600576.SH,旅游主业+低空文旅
002976,33,002976.SZ,光通信散热布局+5G+空气悬架+特斯拉产业链
603261,22,603261.SH,撤销*ST申请+低空经济+无人机+航空装备
002088,33,002088.SZ,新能源电池+陶瓷纤维+节能降碳
603020,17,603020.SH,香精香料+鱼油+收购进展+一季报增长
002812,33,002812.SZ,隔膜龙头+固态电池+业绩增长
002669,33,002669.SZ,
000820,33,000820.SZ,储能+再生铜+冶金工程
600567,17,600567.SH,回购注销+瓦楞纸涨价+京东合作
002882,33,002882.SZ,固态电池量产+电缆+比亚迪产业链+分红
600601,17,600601.SH,AI算力PCB+光模块+珠海国资
603120,17,603120.SH,半导体清洗+催化新材料+专精特新
000969,33,000969.SZ,金属材料+金刚石铜复合材料+非晶纳米晶+可控核聚变
600378,17,600378.SH,
301323,33,301323.SZ,重组并购+钐铁氮+芯片电感
600229,17,600229.SH,IP运营+版权开发+AI应用+国企
002962,33,002962.SZ,
000099,33,000099.SZ,低空经济+海上油气直升机+央企
600791,17,600791.SH,
600862,17,600862.SH,T1100碳纤维+航空复材+低空经济+央企
603272,22,603272.SH,
002935,33,002935.SZ,商业航天+原子钟+央企
001330,33,001330.SZ,AI影视+AI短剧+《四渡》定档
003009,33,003009.SZ,商业航天+小型制导火箭+一季度扭亏+央企
603813,22,603813.SH,
603815,17,603815.SH,基建+QC成果获奖+一带一路
000510,33,000510.SZ,石英砂+锡钨钽+氯碱化工+减持终止
603078,17,603078.SH,
601609,17,601609.SH,铜加工龙头+算力散热+稀土永磁
001257,33,001257.SZ,钼替代钨+钼业龙头+洛阳国资
002200,33,002200.SZ,生态环保+资产注入预期+一季报扭亏+摘帽
600536,17,600536.SH,
002667,33,002667.SZ,
600292,17,600292.SH,水电+资产注入+央企国资
600539,17,600539.SH,拟收购利珀科技+半导体封装+机器视觉+AI应用
002997,33,002997.SZ,机器人合作+汽车模具+轻量化+可转债推进
600187,22,600187.SH,
002856,33,002856.SZ,
002969,33,002969.SZ,追觅入主+微博公布俞浩禁言原因
600391,17,600391.SH,长江发动机+燃气轮机+外贸订单+央企
001299,33,001299.SZ,实控人增持+储能并购+燃气运营
601233,17,601233.SH,涤纶长丝+一季报增长+互联网金融
301348,33,301348.SZ,拟收购芯翼+半导体封测+存储芯片
601696,17,601696.SH,证券+中国银行背景+期货+业绩增长
603036,17,603036.SH,油气钻采+天然气
