code,market_code,股票代码,涨停原因类别[20260206]
002957,33,002957.SZ,半导体设备+光模块+AI眼镜+低空经济
600987,17,600987.SH,纺织印染+黄金饰品
603618,17,603618.SH,特高压+光通信+超薄铜箔
600345,17,600345.SH,商业航天+智慧应急+央企
600884,17,600884.SH,业绩预增+负极龙头+偏光片
000638,33,000638.SZ,
001360,33,001360.SZ,黄金矿山+海外订单+破碎筛分设备
600759,17,600759.SH,油气开采+地缘局势+哈萨克斯坦油田
603823,17,603823.SH,化工涨价+PEEK材料+光刻胶颜料+钠电池
002812,33,002812.SZ,固态电池+隔膜龙头+业绩扭亏
000820,33,000820.SZ,储能中标+固废处理+ST板块
000711,33,000711.SZ,金属铟+ITO靶材+资产注入
603663,17,603663.SH,固态电池+锆铪分离+核级锆
001270,33,001270.SZ,
002150,33,002150.SZ,光伏设备+储能一体机+外销
002112,33,002112.SZ,电网设备+变压器+欧洲设子公司+地方国资
600355,22,600355.SH,
603667,17,603667.SH,人形机器人+丝杠+商业航天
001331,33,001331.SZ,
600686,17,600686.SH,产销增长+新能源客车+福建国资
002440,33,002440.SZ,染料涨价+年报预增+半导体投资
600722,17,600722.SH,甲醇+风电+国企改革
000995,33,000995.SZ,
000767,33,000767.SZ,业绩预增+火电+山西国资
300461,33,300461.SZ,扭亏为盈+无线充电+比亚迪概念+电子烟设备
002759,33,002759.SZ,六氟磷酸锂+满产满销+固态电池
002921,33,002921.SZ,人形机器人+股权转让+氢能源+农机
603876,17,603876.SH,电池铝箔+业绩预增+全球化布局
603616,17,603616.SH,拟收购兴福新材+PEEK新材料+PCCP水利
002455,33,002455.SZ,锂电闭环+负极放量+石墨涨价
000609,33,000609.SZ,房地产+ST板块+司法拍卖
002339,33,002339.SZ,电网设备+中标+特高压
603813,22,603813.SH,
002931,33,002931.SZ,
600230,17,600230.SH,TDI涨价+特种PC+国企改革
002634,33,002634.SZ,子公司重整+TOPCon电池+无缝服装外销
002009,33,002009.SZ,人形机器人+银河通用+富士康合作+优必选
002361,33,002361.SZ,商业航天+无人机+聚酯树脂+地方国企
603626,17,603626.SH,人形机器人+固态电池+精密制造
002772,33,002772.SZ,业绩预增+冬虫夏草+金针菇龙头
002519,33,002519.SZ,商业航天+军工装备+储能
301312,33,301312.SZ,半导体设备+CPO+机器人
603848,17,603848.SH,
600381,22,600381.SH,ST板块+中药+听花酒
002015,33,002015.SZ,蚂蚁数科合作+虚拟电厂+分布式光伏
000004,33,000004.SZ,
002624,33,002624.SZ,AI应用+电竞赛事+游戏业绩爆发
603580,22,603580.SH,两岸融合+轻型输送带+退市风险未除
002728,33,002728.SZ,中药+流感用药+营销改革
603122,17,603122.SH,
002345,33,002345.SZ,黄金+培育钻石+出海扩张
600814,17,600814.SH,百货零售+间接持股中科宇航+黄金销售+杭州国资
002072,33,002072.SZ,煤炭贸易+并购重组预期+重整优势
002412,33,002412.SZ,中药+四磨汤中选+创新药
002842,33,002842.SZ,钨价上涨+光伏钨丝+年报预增
002630,33,002630.SZ,一带一路+超临界锅炉+ST摘帽预期
002099,33,002099.SZ,创新药+染料+原料药+创投
002506,33,002506.SZ,马斯克调研+太空光伏+TOPCon+钙钛矿
600063,17,600063.SH,海螺入主+国企改革+PVA光学膜
002054,33,002054.SZ,纺织助剂龙头+本源量子IPO+2025年预增
603881,17,603881.SH,阿里概念+算力租赁+上海国资
002830,33,002830.SZ,AI传媒+建筑装饰+粤港澳大湾区
603138,17,603138.SH,国产数据库+AI向量+信创
603959,17,603959.SH,机器人+锂电产线+固态电池
003018,33,003018.SZ,拟收购两家液冷散热企业+塑料瓶盖龙头
000056,33,000056.SZ,零售+功率半导体+固态电池
603607,17,603607.SH,IP卡牌+春晚合作+烟草防伪
605488,17,605488.SH,人形机器人+10万套订单+柔性传感器
603331,17,603331.SH,银河通用合作+人形机器人+汽车零部件
002207,33,002207.SZ,油气服务+新疆国资
300912,33,300912.SZ,拟收购金旺达+人形机器人+尾气后处理
