code,股票代码,market_code,涨停原因类别[20260626]
605366,605366.SH,17,光纤概念+高纯四氯化硅+含硫硅烷+券商推荐
603903,603903.SH,17,芯长征入主+功率半导体+污水处理+一季报扭亏
600345,600345.SH,17,
603861,603861.SH,17,AIDC直流配电+变压器出海+电网设备
002141,002141.SZ,33,PCB上游+覆铜板+盐湖提锂参股
002816,002816.SZ,33,半导体设备+机器人线束+颖泉国资
002580,002580.SZ,33,
600118,600118.SH,17,商业航天+卫星+央企+一季度营收增
002674,002674.SZ,33,磷化铟收购+机器人电子皮肤+汽车内饰皮革
600552,600552.SH,17,玻璃基板TGV+有色锆+超薄柔性玻璃UTG
603327,603327.SH,17,
002822,002822.SZ,33,申请撤销ST+物业管理+固废资源化
000859,000859.SZ,33,
002713,002713.SZ,33,算力产业+摘帽预期+增资+家装
600180,600180.SH,22,庭外重组+海外煤炭+代加工业务
001210,001210.SZ,33,成功竞拍+数据中心供冷+综合能源服务+新能源供热
002253,002253.SZ,33,摘帽+复牌+低空经济+军工射频
603194,603194.SH,17,机器人+数智物流项目+股东减持落地
002106,002106.SZ,33,玻璃基板封装+MED电子纸+触摸屏龙头
600708,600708.SH,17,
002568,002568.SZ,33,中报预增+预调鸡尾酒+威士忌
000838,000838.SZ,33,控制权拟变更+房地产+环保+ST板块
600545,600545.SH,17,电子布设备+华为合作+纺织机械
000609,000609.SZ,33,债务和解+拟收购北京天微+半导体封测
603316,603316.SH,17,
002789,002789.SZ,33,
600228,600228.SH,17,控制权变更+复牌+摘帽+在线导购
600962,600962.SH,17,半导体工程+并购重组+浓缩果汁+央企
603399,603399.SH,17,
001400,001400.SZ,33,3D打印+商业航天+液冷服务器+铝挤压模具
600381,600381.SH,22,
002903,002903.SZ,33,
601799,601799.SH,17,
001289,001289.SZ,33,风电+分红+央企
002965,002965.SZ,33,收购酷尔芯+液冷服务器+人形机器人
688409,688409.SH,17,半导体设备+一季报扭亏
600481,600481.SH,17,硅片+光伏+液冷服务器
601369,601369.SH,17,压缩空气储能+透平机械+国企改革
603629,603629.SH,17,
688596,688596.SH,17,碳化硅陶瓷+半导体设备+订单增长
